Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variations	Artists	Expansion Slot	Flavor Text	Image URL	Image Rotation Degrees	TCGPlayer ID	Image Hash Art	Image Hash Full
gqTfggK6mrJwr9hMKwDWh	pBpLPQ7kg6mkBpNMMPdCD	Cuore di Fyendal	3	1HP000	kzcK9FDNtjgwN8zmTbNdr	1HP	N	F	R		Adolfo Navarro			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/IT/IT_1HP000_1.png			4922155545622798071	301208475268118782
FNpT9W8cRMtNDjTtbMHKp	N77hdGp96fNQnzc79hqN9	Occhio di Ophidia	3	1HP000	kzcK9FDNtjgwN8zmTbNdr	1HP	N	F	R		Alexandra Malygina			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/IT/IT_1HP000_2.png			119560514024041944	373664377308740682
6bHjcdPFjtzC8cBJjKcnQ	pkMGCRh9fDT98dRgnQF8W	Frammento del Cavaliere Oscuro	3	1HP000	kzcK9FDNtjgwN8zmTbNdr	1HP	N	F	R		Maxim Kostin			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/IT/IT_1HP000_3.png			6616487748166234685	1238355229625770842
