Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variations	Artists	Expansion Slot	Flavor Text	Image URL	Image Rotation Degrees	TCGPlayer ID	Image Hash Art	Image Hash Full
fWrG7GN6Wh9GkNBjWdkkh	pBpLPQ7kg6mkBpNMMPdCD	Herz von Fyendal	3	1HP000	TJn6DFWGBDfHJMntFCcmR	1HP	N	F	R		Adolfo Navarro			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/DE/DE_1HP000_1.png			4922155545622798071	301208543987595486
zrDP7JGF6hnMLhTrpHRhK	N77hdGp96fNQnzc79hqN9	Auge von Ophidia	3	1HP000	TJn6DFWGBDfHJMntFCcmR	1HP	N	F	R		Alexandra Malygina			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/DE/DE_1HP000_2.png			119840889489124824	373664377308739659
BLNk76c8brjQGFJGdT9Km	pkMGCRh9fDT98dRgnQF8W	Scherbe der Erznacht	3	1HP000	TJn6DFWGBDfHJMntFCcmR	1HP	N	F	R		Maxim Kostin			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/DE/DE_1HP000_3.png			6616487748166234685	1238355229877429082
