Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variations	Artists	Expansion Slot	Flavor Text	Image URL	Image Rotation Degrees	TCGPlayer ID	Image Hash Art	Image Hash Full
zPG97HKzdmzJGdncK8nnG	pBpLPQ7kg6mkBpNMMPdCD	Cœur de Fyendal	3	1HP000	qKwMnMt9wnQzGpw7jLLbj	1HP	N	F	R		Adolfo Navarro			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/FR/FR_1HP000_1.png			4922155545622798071	301208543987595486
BBqrPDLK8RpDLfF99Cr8d	N77hdGp96fNQnzc79hqN9	Œil d'Ophidie	3	1HP000	qKwMnMt9wnQzGpw7jLLbj	1HP	N	F	R		Alexandra Malygina			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/FR/FR_1HP000_2.png			119840889489124824	373664377308478539
LQmdBgHpTGLTpLmftWkbz	pkMGCRh9fDT98dRgnQF8W	Éclat d'Archenuit	3	1HP000	qKwMnMt9wnQzGpw7jLLbj	1HP	N	F	R		Maxim Kostin			https://storage.googleapis.com/fabmaster/cardfaces/2022-1HP/FR/FR_1HP000_3.png			6616487748166234685	1526585606029009754
